measureDevice,measurePt,yPos,yVelo,direction,yAccel,yJerk,index1_disp_peak,index2_disp_peak_moment,index3_disp_interval,index4_velo_peak,index5_velo_peak_moment,index6_velo_rising_time,index7_accel_peak,index8_accel_peak_moment,index9_accel_interval,useless
IDS,1,-3000,5000,1,3,80,-0.164423959001094,12.2157666666667,9.51953701884288,5060.94422530575,0.221100000000003,0.159000000000002,1.67386241983311,4.8684,0.182402467017269,47
IDS,1,-3000,30000,1,3,80,-0.146647151233841,9.0602666666666,0.585770136836393,30401.8478372538,0.58625,0.418150000000004,2.78085516333326,1.17175,0.490479269176314,48
IDS,1,0,5000,1,3,140,-0.0194512710344933,NaN,2.43305404569423,5224.94863737018,0.2143,0.15405,1.72756177343643,4.8661,0.190410287937229,49
IDS,1,0,30000,1,3,140,-0.00649132814342579,9.0563666666667,0.585578716826314,30362.2662058663,0.522650000000001,0.410199999999998,2.78594616819512,1.1711,0.522220814599745,50
IDS,1,-1500,5000,1,3,140,-0.0809338075941165,12.2091333333333,2.43308239082251,5062.29992546046,0.214399999999998,0.1541,1.72766252070901,4.86615,0.176769424298309,51
IDS,1,-1500,30000,1,3,140,-0.0664989161748508,9.0561666666667,0.58557423976383,30362.1975908016,0.522549999999999,0.410149999999998,2.78925905285172,1.1711,0.466611924511953,52
IDS,1,-3000,5000,1,3,140,-0.161250955371543,12.2090666666666,9.51530396426969,5063.08098911571,0.214449999999999,0.154199999999996,1.72544901658649,4.8661,0.176971326984905,53
IDS,1,-3000,30000,1,3,140,-0.14702156739304,9.05629999999999,0.585584429915616,30363.8773930217,0.5227,0.410700000000006,2.78890238941763,1.17125,0.500805217214889,54
IDS,1,0,5000,0,1,40,-0.00263462558937102,NaN,2.23492916744944,5217.04881352409,0.442299999999999,0.329099999999999,-0.793613362850986,4.9865,0.442098062738271,1
IDS,1,0,30000,0,1,40,-0.00285478590731679,8.7601,0.943194302648089,23294.3557393391,0.943300000000001,0.808999999999998,-0.958657129664858,1.69746666666667,0.917562953723737,2
IDS,1,-1500,5000,0,1,40,-0.0612231563930739,15.2938666666667,2.2349306400585,5221.60225528898,0.442250000000001,0.3291,-0.793410479221664,4.98650000000001,0.442357677189804,3
IDS,1,-1500,30000,0,1,40,-0.0604862959410184,8.7602333333333,0.943211640569511,23295.2181454579,0.943299999999997,0.809000000000005,-0.958615944631198,1.69756666666667,0.930057100457363,4
IDS,1,-3000,5000,0,1,40,-0.129867627530833,15.2943333333333,2.23493342100546,5218.4993123024,0.442350000000001,0.329150000000006,-0.793498479527744,4.98660000000001,0.442168923215561,5
IDS,1,-3000,30000,0,1,40,-0.129178642969691,7.8162166666667,0.943247464723044,25599.4152525113,0.943250000000006,0.808950000000003,-0.958623175508374,1.88775,0.85818892273115,6
IDS,1,0,5000,0,1,80,-0.00237555228211203,NaN,2.23459793824694,5216.37136981941,0.435499999999998,0.317,-0.803481543606414,4.9859,0.4352347512493,7
IDS,1,0,30000,0,1,80,-0.00264038433442098,8.7589,0.942979568683509,23368.8996406566,0.942999999999998,0.810099999999999,-0.959638175336063,1.69323333333333,0.918151196219535,8
IDS,1,-1500,5000,0,1,80,-0.0624217488880277,15.2867666666667,2.23460586822899,5214.59392558926,0.435449999999999,0.317099999999996,-0.803230172747324,4.98589999999999,0.435509311877656,9
IDS,1,-1500,30000,0,1,80,-0.0604241045941005,8.7582666666667,0.942980878957189,23366.7414725989,0.942999999999998,0.810099999999999,-0.95965375266265,1.69326666666667,0.928185807134309,10
